date,store_name,product_name,BOD_inventory,sales_units
1/3/2016,Garden City,banana,400,60
1/3/2016,Garden City,watermelon,400,20
1/3/2016,Garden City,orange,400,61
1/3/2016,Garden City,lettuce,400,42
1/3/2016,Garden City,tomato,400,16
1/3/2016,Garden City,cucumber,400,15
1/3/2016,Garden City,avocado,400,29
1/3/2016,Merrick,banana,400,73
1/3/2016,Merrick,watermelon,400,21
1/3/2016,Merrick,orange,400,63
1/3/2016,Merrick,lettuce,400,53
1/3/2016,Merrick,tomato,400,21
1/3/2016,Merrick,cucumber,400,15
1/3/2016,Merrick,avocado,400,29
1/3/2016,Oceanside,banana,400,134
1/3/2016,Oceanside,watermelon,400,40
1/3/2016,Oceanside,orange,400,106
1/3/2016,Oceanside,lettuce,400,82
1/3/2016,Oceanside,tomato,400,32
1/3/2016,Oceanside,cucumber,400,27
1/3/2016,Oceanside,avocado,400,49
1/3/2016,Stony Brook,banana,400,81
1/3/2016,Stony Brook,watermelon,400,25
1/3/2016,Stony Brook,orange,400,58
1/3/2016,Stony Brook,lettuce,400,52
1/3/2016,Stony Brook,tomato,400,20
1/3/2016,Stony Brook,cucumber,400,19
1/3/2016,Stony Brook,avocado,400,26
1/3/2016,Greenport,banana,400,104
1/3/2016,Greenport,watermelon,400,25
1/3/2016,Greenport,orange,400,73
1/3/2016,Greenport,lettuce,400,59
1/3/2016,Greenport,tomato,400,24
1/3/2016,Greenport,cucumber,400,20
1/3/2016,Greenport,avocado,400,36
1/3/2016,Rye,banana,400,49
1/3/2016,Rye,watermelon,400,18
1/3/2016,Rye,orange,400,51
1/3/2016,Rye,lettuce,400,35
1/3/2016,Rye,tomato,400,13
1/3/2016,Rye,cucumber,400,11
1/3/2016,Rye,avocado,400,20
1/3/2016,Sleepy Hollow,banana,400,106
1/3/2016,Sleepy Hollow,watermelon,400,26
1/3/2016,Sleepy Hollow,orange,400,70
1/3/2016,Sleepy Hollow,lettuce,400,72
1/3/2016,Sleepy Hollow,tomato,400,23
1/3/2016,Sleepy Hollow,cucumber,400,21
1/3/2016,Sleepy Hollow,avocado,400,41
1/4/2016,Garden City,banana,340,68
1/4/2016,Garden City,watermelon,380,20
1/4/2016,Garden City,orange,339,58
1/4/2016,Garden City,lettuce,358,51
1/4/2016,Garden City,tomato,384,16
1/4/2016,Garden City,cucumber,385,15
1/4/2016,Garden City,avocado,371,27
1/4/2016,Merrick,banana,327,74
1/4/2016,Merrick,watermelon,379,24
1/4/2016,Merrick,orange,337,68
1/4/2016,Merrick,lettuce,347,56
1/4/2016,Merrick,tomato,379,21
1/4/2016,Merrick,cucumber,385,14
1/4/2016,Merrick,avocado,371,28
1/4/2016,Oceanside,banana,266,132
1/4/2016,Oceanside,watermelon,360,38
1/4/2016,Oceanside,orange,294,110
1/4/2016,Oceanside,lettuce,318,76
1/4/2016,Oceanside,tomato,368,26
1/4/2016,Oceanside,cucumber,373,27
1/4/2016,Oceanside,avocado,351,41
1/4/2016,Stony Brook,banana,319,84
1/4/2016,Stony Brook,watermelon,375,26
1/4/2016,Stony Brook,orange,342,65
1/4/2016,Stony Brook,lettuce,348,47
1/4/2016,Stony Brook,tomato,380,17
1/4/2016,Stony Brook,cucumber,381,15
1/4/2016,Stony Brook,avocado,374,28
1/4/2016,Greenport,banana,296,82
1/4/2016,Greenport,watermelon,375,26
1/4/2016,Greenport,orange,327,93
1/4/2016,Greenport,lettuce,341,74
1/4/2016,Greenport,tomato,376,25
1/4/2016,Greenport,cucumber,380,22
1/4/2016,Greenport,avocado,364,39
1/4/2016,Rye,banana,351,53
1/4/2016,Rye,watermelon,382,14
1/4/2016,Rye,orange,349,47
1/4/2016,Rye,lettuce,365,36
1/4/2016,Rye,tomato,387,14
1/4/2016,Rye,cucumber,389,10
1/4/2016,Rye,avocado,380,19
1/4/2016,Sleepy Hollow,banana,294,81
1/4/2016,Sleepy Hollow,watermelon,374,28
1/4/2016,Sleepy Hollow,orange,330,72
1/4/2016,Sleepy Hollow,lettuce,328,64
1/4/2016,Sleepy Hollow,tomato,377,24
1/4/2016,Sleepy Hollow,cucumber,379,17
1/4/2016,Sleepy Hollow,avocado,359,38
1/5/2016,Garden City,banana,272,63
1/5/2016,Garden City,watermelon,360,22
1/5/2016,Garden City,orange,281,52
1/5/2016,Garden City,lettuce,307,51
1/5/2016,Garden City,tomato,368,16
1/5/2016,Garden City,cucumber,370,15
1/5/2016,Garden City,avocado,344,27
1/5/2016,Merrick,banana,253,62
1/5/2016,Merrick,watermelon,355,20
1/5/2016,Merrick,orange,269,59
1/5/2016,Merrick,lettuce,291,49
1/5/2016,Merrick,tomato,358,18
1/5/2016,Merrick,cucumber,371,15
1/5/2016,Merrick,avocado,343,28
1/5/2016,Oceanside,banana,134,124
1/5/2016,Oceanside,watermelon,322,41
1/5/2016,Oceanside,orange,184,109
1/5/2016,Oceanside,lettuce,242,77
1/5/2016,Oceanside,tomato,342,30
1/5/2016,Oceanside,cucumber,346,26
1/5/2016,Oceanside,avocado,310,46
1/5/2016,Stony Brook,banana,235,87
1/5/2016,Stony Brook,watermelon,349,24
1/5/2016,Stony Brook,orange,277,59
1/5/2016,Stony Brook,lettuce,301,59
1/5/2016,Stony Brook,tomato,363,21
1/5/2016,Stony Brook,cucumber,366,18
1/5/2016,Stony Brook,avocado,346,33
1/5/2016,Greenport,banana,214,84
1/5/2016,Greenport,watermelon,349,28
1/5/2016,Greenport,orange,234,90
1/5/2016,Greenport,lettuce,267,73
1/5/2016,Greenport,tomato,351,23
1/5/2016,Greenport,cucumber,358,22
1/5/2016,Greenport,avocado,325,36
1/5/2016,Rye,banana,298,50
1/5/2016,Rye,watermelon,368,14
1/5/2016,Rye,orange,302,41
1/5/2016,Rye,lettuce,329,40
1/5/2016,Rye,tomato,373,12
1/5/2016,Rye,cucumber,379,11
1/5/2016,Rye,avocado,361,21
1/5/2016,Sleepy Hollow,banana,213,84
1/5/2016,Sleepy Hollow,watermelon,346,25
1/5/2016,Sleepy Hollow,orange,258,68
1/5/2016,Sleepy Hollow,lettuce,264,72
1/5/2016,Sleepy Hollow,tomato,353,27
1/5/2016,Sleepy Hollow,cucumber,362,22
1/5/2016,Sleepy Hollow,avocado,321,32
1/6/2016,Garden City,banana,209,69
1/6/2016,Garden City,watermelon,338,19
1/6/2016,Garden City,orange,229,60
1/6/2016,Garden City,lettuce,256,44
1/6/2016,Garden City,tomato,352,17
1/6/2016,Garden City,cucumber,355,16
1/6/2016,Garden City,avocado,317,25
1/6/2016,Merrick,banana,191,75
1/6/2016,Merrick,watermelon,335,23
1/6/2016,Merrick,orange,210,56
1/6/2016,Merrick,lettuce,242,44
1/6/2016,Merrick,tomato,340,18
1/6/2016,Merrick,cucumber,356,15
1/6/2016,Merrick,avocado,315,31
1/6/2016,Oceanside,banana,10,10
1/6/2016,Oceanside,watermelon,281,32
1/6/2016,Oceanside,orange,75,75
1/6/2016,Oceanside,lettuce,165,94
1/6/2016,Oceanside,tomato,312,31
1/6/2016,Oceanside,cucumber,320,24
1/6/2016,Oceanside,avocado,264,44
1/6/2016,Stony Brook,banana,148,71
1/6/2016,Stony Brook,watermelon,325,22
1/6/2016,Stony Brook,orange,218,75
1/6/2016,Stony Brook,lettuce,242,58
1/6/2016,Stony Brook,tomato,342,23
1/6/2016,Stony Brook,cucumber,348,19
1/6/2016,Stony Brook,avocado,313,34
1/6/2016,Greenport,banana,130,97
1/6/2016,Greenport,watermelon,321,29
1/6/2016,Greenport,orange,144,74
1/6/2016,Greenport,lettuce,194,64
1/6/2016,Greenport,tomato,328,23
1/6/2016,Greenport,cucumber,336,22
1/6/2016,Greenport,avocado,289,43
1/6/2016,Rye,banana,248,59
1/6/2016,Rye,watermelon,354,18
1/6/2016,Rye,orange,261,45
1/6/2016,Rye,lettuce,289,35
1/6/2016,Rye,tomato,361,14
1/6/2016,Rye,cucumber,368,13
1/6/2016,Rye,avocado,340,18
1/6/2016,Sleepy Hollow,banana,129,81
1/6/2016,Sleepy Hollow,watermelon,321,32
1/6/2016,Sleepy Hollow,orange,190,84
1/6/2016,Sleepy Hollow,lettuce,192,61
1/6/2016,Sleepy Hollow,tomato,326,26
1/6/2016,Sleepy Hollow,cucumber,340,19
1/6/2016,Sleepy Hollow,avocado,289,40
1/7/2016,Garden City,banana,140,68
1/7/2016,Garden City,watermelon,319,20
1/7/2016,Garden City,orange,169,53
1/7/2016,Garden City,lettuce,212,40
1/7/2016,Garden City,tomato,335,19
1/7/2016,Garden City,cucumber,339,14
1/7/2016,Garden City,avocado,292,27
1/7/2016,Merrick,banana,116,70
1/7/2016,Merrick,watermelon,312,19
1/7/2016,Merrick,orange,154,54
1/7/2016,Merrick,lettuce,198,46
1/7/2016,Merrick,tomato,322,19
1/7/2016,Merrick,cucumber,341,15
1/7/2016,Merrick,avocado,284,25
1/7/2016,Oceanside,banana,0,0
1/7/2016,Oceanside,watermelon,249,32
1/7/2016,Oceanside,orange,0,0
1/7/2016,Oceanside,lettuce,71,71
1/7/2016,Oceanside,tomato,281,31
1/7/2016,Oceanside,cucumber,296,24
1/7/2016,Oceanside,avocado,220,49
1/7/2016,Stony Brook,banana,77,66
1/7/2016,Stony Brook,watermelon,303,21
1/7/2016,Stony Brook,orange,143,68
1/7/2016,Stony Brook,lettuce,184,60
1/7/2016,Stony Brook,tomato,319,22
1/7/2016,Stony Brook,cucumber,329,16
1/7/2016,Stony Brook,avocado,279,29
1/7/2016,Greenport,banana,33,33
1/7/2016,Greenport,watermelon,292,25
1/7/2016,Greenport,orange,70,70
1/7/2016,Greenport,lettuce,130,65
1/7/2016,Greenport,tomato,305,28
1/7/2016,Greenport,cucumber,314,19
1/7/2016,Greenport,avocado,246,35
1/7/2016,Rye,banana,189,54
1/7/2016,Rye,watermelon,336,18
1/7/2016,Rye,orange,216,42
1/7/2016,Rye,lettuce,254,42
1/7/2016,Rye,tomato,347,13
1/7/2016,Rye,cucumber,355,10
1/7/2016,Rye,avocado,322,20
1/7/2016,Sleepy Hollow,banana,48,48
1/7/2016,Sleepy Hollow,watermelon,289,27
1/7/2016,Sleepy Hollow,orange,106,76
1/7/2016,Sleepy Hollow,lettuce,131,62
1/7/2016,Sleepy Hollow,tomato,300,26
1/7/2016,Sleepy Hollow,cucumber,321,20
1/7/2016,Sleepy Hollow,avocado,249,32
1/8/2016,Garden City,banana,72,72
1/8/2016,Garden City,watermelon,299,20
1/8/2016,Garden City,orange,116,61
1/8/2016,Garden City,lettuce,172,40
1/8/2016,Garden City,tomato,316,17
1/8/2016,Garden City,cucumber,325,15
1/8/2016,Garden City,avocado,265,27
1/8/2016,Merrick,banana,46,46
1/8/2016,Merrick,watermelon,293,21
1/8/2016,Merrick,orange,100,55
1/8/2016,Merrick,lettuce,152,56
1/8/2016,Merrick,tomato,303,17
1/8/2016,Merrick,cucumber,326,16
1/8/2016,Merrick,avocado,259,31
1/8/2016,Oceanside,banana,0,0
1/8/2016,Oceanside,watermelon,217,34
1/8/2016,Oceanside,orange,0,0
1/8/2016,Oceanside,lettuce,0,0
1/8/2016,Oceanside,tomato,250,29
1/8/2016,Oceanside,cucumber,272,28
1/8/2016,Oceanside,avocado,171,44
1/8/2016,Stony Brook,banana,11,11
1/8/2016,Stony Brook,watermelon,282,21
1/8/2016,Stony Brook,orange,75,57
1/8/2016,Stony Brook,lettuce,124,59
1/8/2016,Stony Brook,tomato,297,18
1/8/2016,Stony Brook,cucumber,313,16
1/8/2016,Stony Brook,avocado,250,32
1/8/2016,Greenport,banana,0,0
1/8/2016,Greenport,watermelon,267,31
1/8/2016,Greenport,orange,0,0
1/8/2016,Greenport,lettuce,65,63
1/8/2016,Greenport,tomato,277,27
1/8/2016,Greenport,cucumber,295,20
1/8/2016,Greenport,avocado,211,38
1/8/2016,Rye,banana,135,57
1/8/2016,Rye,watermelon,318,15
1/8/2016,Rye,orange,174,42
1/8/2016,Rye,lettuce,212,38
1/8/2016,Rye,tomato,334,13
1/8/2016,Rye,cucumber,345,10
1/8/2016,Rye,avocado,302,19
1/8/2016,Sleepy Hollow,banana,0,0
1/8/2016,Sleepy Hollow,watermelon,262,31
1/8/2016,Sleepy Hollow,orange,30,30
1/8/2016,Sleepy Hollow,lettuce,69,69
1/8/2016,Sleepy Hollow,tomato,274,22
1/8/2016,Sleepy Hollow,cucumber,301,19
1/8/2016,Sleepy Hollow,avocado,217,38
1/9/2016,Garden City,banana,0,0
1/9/2016,Garden City,watermelon,279,18
1/9/2016,Garden City,orange,55,55
1/9/2016,Garden City,lettuce,132,50
1/9/2016,Garden City,tomato,299,18
1/9/2016,Garden City,cucumber,310,15
1/9/2016,Garden City,avocado,238,25
1/9/2016,Merrick,banana,0,0
1/9/2016,Merrick,watermelon,272,24
1/9/2016,Merrick,orange,45,45
1/9/2016,Merrick,lettuce,96,58
1/9/2016,Merrick,tomato,286,21
1/9/2016,Merrick,cucumber,310,16
1/9/2016,Merrick,avocado,228,24
1/9/2016,Oceanside,banana,0,0
